Rk,Pick,YR,HT,PLAYER,TEAM,CONF,G,ROLE,MIN_PCT,PRPG,D_PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A_TO,BLK,STL,FTR,FC40,DUNKS_MADE_ATT,DUNKS_PCT,CLOSE_2_MADE_ATT,CLOSE_2_PCT,FAR_2_MADE_ATT,FAR_2_PCT,FT_MADE_ATT,FT_PCT,2P_MADE_ATT,2P_PCT,3PR,3P_PER_100,3P_MADE_ATT,3P_PCT
492,-,Jr,6-9,David Fuchs,San Francisco,WCC,28,PF/C,53.1,2.7,2.4,2.8,3.4,-0.6,110.3,105.5,28.4,53.9,57.7,11.2,25.8,13.8,16.4,0.8,1.5,1.1,79.8,3.1,26-32,.813,97-163,.595,11-32,.344,117-182,.643,108-195,.554,14.5,2.9,10-33,.303
493,-,Sr,6-6,Logan Kinsey,Denver,Sum,29,Wing G,74.5,2.7,1.1,-1.0,1.2,-2.1,124.5,123.6,17.2,56.9,60.7,7.8,8.2,6.0,10.9,1.1,0.8,1.5,37.9,4.0,20-23,.870,75-113,.664,33-69,.478,66-85,.776,108-182,.593,18.8,2.8,13-42,.310
494,-,Sr,6-8,Keba Keita,BYU,B12,33,C,53.2,2.7,3.2,6.9,3.1,3.8,130.4,93.1,13.0,68.0,66.2,13.8,21.2,2.2,14.6,0.4,8.3,2.6,45.3,3.9,35-41,.854,77-101,.762,10-27,.370,32-58,.552,87-128,.680,0.0,0.0,0-0,.000
495,-,Jr,6-5,Ernest Shelton,Merrimack,MAAC,34,Wing G,91.1,2.7,2.9,0.8,1.8,-1.1,113.8,111.6,20.8,51.3,58.0,1.8,8.2,5.8,8.9,0.8,1.6,2.0,42.2,2.2,6-10,.600,36-67,.537,15-36,.417,143-164,.872,51-103,.495,73.5,14.3,99-286,.346
496,-,Sr,6-2,Justin Wright,UNC Asheville,BSth,29,Combo G,84.9,2.7,2.5,-0.4,0.5,-0.9,109.2,112.9,26.3,52.1,56.7,1.5,9.0,19.3,16.5,1.3,0.2,2.0,37.3,2.7,0-0,.000,56-94,.596,78-166,.470,111-141,.787,134-260,.515,31.2,7.0,42-118,.356
497,-,Sr,6-6,Aaron Nkrumah,Tennessee St.,OVC,30,Wing G,80.2,2.7,3.1,5.2,3.2,2.0,109.8,106.2,27.2,48.3,54.0,4.0,16.0,17.9,15.3,1.3,1.6,4.9,41.5,2.5,20-21,.952,76-129,.589,53-146,.363,134-170,.788,129-275,.469,32.9,7.9,46-135,.341
498,-,Jr,6-2,BJ Davis,San Diego St.,MWC,32,Combo G,55.0,2.7,2.9,6.7,3.3,3.4,118.4,96.5,23.2,50.6,57.5,2.9,13.1,18.7,10.8,2.3,0.8,2.8,45.1,3.9,3-3,1.000,41-69,.594,33-86,.384,97-114,.851,74-155,.477,38.7,7.9,36-98,.367
499,-,So,6-8,Brant Byers,Miami OH,MAC,31,Wing F,78.6,2.6,2.6,1.0,1.9,-0.9,122.2,110.6,18.3,57.7,63.0,3.3,11.4,3.1,9.6,0.6,1.2,1.1,56.1,2.5,14-15,.933,59-97,.608,7-17,.412,123-156,.788,66-114,.579,59.0,9.3,63-164,.384
500,-,Jr,6-10,Armani Mighty,Mercer,SC,29,C,81.1,2.6,2.8,1.2,2.1,-0.8,120.3,109.4,20.2,63.4,61.8,14.3,23.2,5.9,14.5,0.7,5.8,1.1,65.1,2.4,43-50,.860,135-198,.682,16-40,.400,83-155,.535,151-238,.634,0.0,0.0,0-0,.000
501,-,Jr,6-7,Paul Djobet,Nebraska Omaha,Sum,20,Stretch 4,51.2,2.6,2.1,2.6,3.6,-1.0,111.0,113.8,28.6,58.0,60.4,6.2,19.3,15.3,16.4,0.8,1.9,1.6,32.8,3.4,2-2,1.000,63-92,.685,31-76,.408,59-82,.720,94-168,.560,32.8,8.0,34-82,.415
